"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"524","@Delta googles ""can you buy a house with a credit card""",FALSE,0,"markwby",2017-09-26 16:48:01,FALSE,"912717723456737280","912720424781443074","31520742","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","markwby",0,FALSE,FALSE,NA,NA
"525","@DavidBegnaud @Delta Are you fracking serious right now?!?!???  @Delta You sooo SUCK!!!!!!  I hope this goes viral… https://t.co/cwQnw5U85l",FALSE,0,"DavidBegnaud",2017-09-26 16:47:38,TRUE,"912159721439801344","912720327309918208","42971403","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","teejay2039",0,FALSE,FALSE,NA,NA
"526","@markwby @Delta mark i am sorry for your loss",FALSE,0,"markwby",2017-09-26 16:47:32,FALSE,"912717723456737280","912720304870486016","31520742","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marianbull",0,FALSE,FALSE,NA,NA
"527","Holy hell! @Delta is increasing their 2018 MQD waiver for Diamond Status from $25k to $250k - a 900% increase!",FALSE,1,NA,2017-09-26 16:47:32,FALSE,NA,"912720304765620229",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","bs_carroll",0,FALSE,FALSE,NA,NA
"528","@Delta changes their qualification level from 25K to 250K! Great way to make me consider other airlines! Bad custom… https://t.co/SMqkXkPVza",FALSE,0,"Delta",2017-09-26 16:47:30,TRUE,NA,"912720296016101376","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mailekeone",0,FALSE,FALSE,NA,NA
"529","@Delta @rossturk Why fly Delta anymore? So much for loyalty!!",FALSE,0,"Delta",2017-09-26 16:47:27,FALSE,"912719013104504832","912720281071910912","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Spacemase27",0,FALSE,FALSE,NA,NA
"530","Goodbye, @Delta - it was nice working with you. But this Diamond is looking for a new home. @AlaskaAir maybe?… https://t.co/ZOckbDDYjY",FALSE,0,NA,2017-09-26 16:47:25,TRUE,NA,"912720273954136064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HonoraryOrange",0,FALSE,FALSE,NA,NA
"531","@SternerJeanette @Delta @RenesPoints Let's not overlook the fact it devalues platinum  , gold, and silver too",FALSE,2,"SternerJeanette",2017-09-26 16:47:25,FALSE,"912713229851332608","912720272549138432","2269464097","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Twin502s",0,FALSE,FALSE,NA,NA
"532","@Delta increasing the minimum spend from $25,000 to $250,000 - such bad business.",FALSE,0,"Delta",2017-09-26 16:47:16,FALSE,NA,"912720235853078528","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asrguy",0,FALSE,FALSE,NA,NA
"533","@Delta horrible decision to increase AMEX cap to 250,000. I'll  be cancelling my card and looking for alternatives to travel. #delta",FALSE,3,"Delta",2017-09-26 16:47:14,FALSE,NA,"912720228844396545","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mattjustice13",0,FALSE,FALSE,NA,NA
"534","@backlon @Delta $25,000 to $250,000? That's...quite an adjustment.",FALSE,0,"backlon",2017-09-26 16:47:10,FALSE,"912718846015938560","912720210481876993","1090141","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kylecarroll",0,FALSE,FALSE,NA,NA
"535","@jrhunt @Delta it’s just ridiculous to even have a waiver. it’s such an over-the-top ‘fuck you’.",FALSE,0,"jrhunt",2017-09-26 16:47:08,FALSE,"912720015052304384","912720202839629824","14157064","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","holman",0,FALSE,FALSE,NA,NA
"536","@Delta Not at all happy with the 2019 MQD waiver raise from 25k to 250K. 25 to 50 makes sense but 10-fold increase is just plain wrong.",FALSE,1,"Delta",2017-09-26 16:47:06,FALSE,NA,"912720192500846592","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","punit_arora",1,FALSE,FALSE,NA,NA
"537","@rossturk @Delta Me neither. At least they gave us some lead time to find another preferred credit card and airline. What a crock!",FALSE,0,"rossturk",2017-09-26 16:47:03,FALSE,"912713369689485313","912720182690361344","2523321","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deankolicious",0,FALSE,FALSE,NA,NA
"538","RT @rossturk: Seems I’ll never be Diamond on @Delta ever again and no longer have a reason to try... https://t.co/hWY8wQdiUP",FALSE,0,NA,2017-09-26 16:47:03,FALSE,NA,"912720181889204225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RWillbur",3,TRUE,FALSE,NA,NA
"539","RT @sandeepmehtani: @DELTA stuck in Atlanta. Canceled our flight after 3 hours, worst customer service ever! 2 Delta reps for 100's of canc…",FALSE,0,NA,2017-09-26 16:47:00,FALSE,NA,"912720167767027712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","contbanasu1988",2,TRUE,FALSE,NA,NA
"540","@SternerJeanette @Delta @RenesPoints I agree 50k more reasonable . I understand their thinking but put us down nicely LOL",FALSE,0,"SternerJeanette",2017-09-26 16:46:45,FALSE,"912713229851332608","912720105892667392","2269464097","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Twin502s",0,FALSE,FALSE,NA,NA
